Organism,ToL ID,INSDC ID,Common Name,Current status,External references
Criorhina berberina,idCriBerb1,PRJEB45157,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=2663927&result=taxon&taxonomy=ncbi#Criorhina berberina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Criorhina-berberina;https://wellcomeopenresearch.org/articles/8-23/v1
Micropterix aruncella,"ilMicArun1, ilMicArun2, ilMicArun3, ilMicArun4, ilMicArun5, ilMicArun6, ilMicArun7, ilMicArun8, ilMicArun9",PRJEB53242,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1042620&result=taxon&taxonomy=ncbi#Micropterix aruncella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Micropterix-aruncella;https://wellcomeopenresearch.org/articles/8-1/v1
Lasioglossum morio,"iyLasMori2, iyLasMori1",PRJEB46258,Green Furrow Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=88514&result=taxon&taxonomy=ncbi#Lasioglossum morio;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lasioglossum-morio;https://wellcomeopenresearch.org/articles/8-28/v1
Sarcophaga subvicina,idSarSubv1,PRJEB51463,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=236850&result=taxon&taxonomy=ncbi#Sarcophaga subvicina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Sarcophaga-subvicina;https://wellcomeopenresearch.org/articles/8-65/v1
Sarcophaga caerulescens,idSarCaer1,PRJEB48187,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=596942&result=taxon&taxonomy=ncbi#Sarcophaga caerulescens;https://tolqc.cog.sanger.ac.uk/darwin/insects/Sarcophaga-caerulescens;https://wellcomeopenresearch.org/articles/8-17/v1
Hypsopygia costalis,"ilHypCost2, ilHypCost1",PRJEB51263,Gold Triangle,Annotation Complete,https://goat.genomehubs.org/records?record_id=1101110&result=taxon&taxonomy=ncbi#Hypsopygia costalis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hypsopygia-costalis;https://wellcomeopenresearch.org/articles/8-15/v1
Podabrus alpinus,icPodAlpi1,PRJEB49176,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1553677&result=taxon&taxonomy=ncbi#Podabrus alpinus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Podabrus-alpinus;https://wellcomeopenresearch.org/articles/8-56/v1
Calliphora vomitoria,idCalVomi1,PRJEB52478,Orange-bearded Bluebottle,Annotation Complete,https://goat.genomehubs.org/records?record_id=27454&result=taxon&taxonomy=ncbi#Calliphora vomitoria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Calliphora-vomitoria;https://wellcomeopenresearch.org/articles/8-93/v1
Scaeva pyrastri,"idScaPyra3, idScaPyra4, idScaPyra2, idScaPyra1, idScaPyra5",PRJEB42078,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=219539&result=taxon&taxonomy=ncbi#Scaeva pyrastri;https://tolqc.cog.sanger.ac.uk/darwin/insects/Scaeva-pyrastri;https://wellcomeopenresearch.org/articles/8-83/v1
Tiphia femorata,iyTipFemo1,PRJEB51916,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=330862&result=taxon&taxonomy=ncbi#Tiphia femorata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tiphia-femorata;https://wellcomeopenresearch.org/articles/8-57/v1
Agrochola circellaris,"ilAgrCirc2, ilAgrCirc1",PRJEB46276,Brick,Annotation Complete,https://goat.genomehubs.org/records?record_id=987866&result=taxon&taxonomy=ncbi#Agrochola circellaris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agrochola-circellaris;https://wellcomeopenresearch.org/articles/8-44/v1
Volucella inanis,"idVolInan2, idVolInan3, idVolInan1",PRJEB44977,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=226151&result=taxon&taxonomy=ncbi#Volucella inanis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Volucella-inanis;https://wellcomeopenresearch.org/articles/8-69/v1
Yponomeuta sedellus,"ilYpoSedl2, ilYpoSedl1",PRJEB50730,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=263933&result=taxon&taxonomy=ncbi#Yponomeuta sedellus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Yponomeuta-sedellus;https://wellcomeopenresearch.org/articles/8-50/v1
Idaea aversata,ilIdaAver1,PRJEB44975,Riband Wave,Annotation Complete,https://goat.genomehubs.org/records?record_id=104447&result=taxon&taxonomy=ncbi#Idaea aversata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Idaea-aversata;https://wellcomeopenresearch.org/articles/8-45/v1
Lobophora halterata,ilLobHalt1,PRJEB50724,Seraphim,Annotation Complete,https://goat.genomehubs.org/records?record_id=934876&result=taxon&taxonomy=ncbi#Lobophora halterata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lobophora-halterata;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20751/2cb41b44-f29b-48b7-9c09-897adfe0fa38_18713%20-%20Tree%20of%20Life%20Team%20Sanger.html
Vanessa atalanta,"ilVanAtal2, ilVanAtal1",PRJEB42063,red admiral,Annotation Complete,https://goat.genomehubs.org/records?record_id=42275&result=taxon&taxonomy=ncbi#Vanessa atalanta;https://tolqc.cog.sanger.ac.uk/darwin/insects/Vanessa-atalanta;https://wellcomeopenresearch.org/articles/6-356/v1
Gymnosoma rotundatum,idGymRotn1,PRJEB46261,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=569046&result=taxon&taxonomy=ncbi#Gymnosoma rotundatum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Gymnosoma-rotundatum;https://wellcomeopenresearch.org/articles/7-104/v1
Erynnis tages,"ilEryTage2, ilEryTage1",PRJEB42092,Dingy Skipper,Annotation Complete,https://goat.genomehubs.org/records?record_id=520884&result=taxon&taxonomy=ncbi#Erynnis tages;https://tolqc.cog.sanger.ac.uk/darwin/insects/Erynnis-tages;
Limenitis camilla,ilLimCami1,PRJEB42097,White Admiral,Annotation Complete,https://goat.genomehubs.org/records?record_id=270466&result=taxon&taxonomy=ncbi#Limenitis camilla;https://tolqc.cog.sanger.ac.uk/darwin/insects/Limenitis-camilla;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20619/9c14960d-dae2-41aa-9483-841776bb088f_18594%20-%20Tree%20of%20Life%20Team%20Sanger.html
Erebia ligea,ilEreLige1,PRJEB42091,Arran brown butterfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=111903&result=taxon&taxonomy=ncbi#Erebia ligea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Erebia-ligea;https://wellcomeopenresearch.org/articles/7-259/v1
Eupeodes latifasciatus,"idEupLati2, idEupLati1",PRJEB47306,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1124558&result=taxon&taxonomy=ncbi#Eupeodes latifasciatus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eupeodes-latifasciatus;https://wellcomeopenresearch.org/articles/7-253/v1
Erebia aethiops,"ilEreAeth1, ilEreAeth3, ilEreAeth4, ilEreAeth2",PRJEB47310,Scotch argus,Annotation Complete,https://goat.genomehubs.org/records?record_id=447833&result=taxon&taxonomy=ncbi#Erebia aethiops;https://tolqc.cog.sanger.ac.uk/darwin/insects/Erebia-aethiops;https://wellcomeopenresearch.org/articles/7-217/v1
Hydriomena furcata,ilHydFurc1,PRJEB45657,July Highflyer,Annotation Complete,https://goat.genomehubs.org/records?record_id=104460&result=taxon&taxonomy=ncbi#Hydriomena furcata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hydriomena-furcata;
Blastobasis adustella,"ilBlaAdus1, ilBlaAdus2",PRJEB44978,Furness Dowd,Annotation Complete,https://goat.genomehubs.org/records?record_id=1869501&result=taxon&taxonomy=ncbi#Blastobasis adustella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Blastobasis-adustella;
Bombus hortorum,"iyBomHort2, iyBomHort1",PRJEB43528,Small Garden Bumblebee,Annotation Complete,https://goat.genomehubs.org/records?record_id=85660&result=taxon&taxonomy=ncbi#Bombus hortorum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombus-hortorum;https://wellcomeopenresearch.org/articles/6-270/v1
Aricia artaxerxes,"ilAriArta2, ilAriAges2",PRJEB42082,northern brown argus,Annotation Complete,https://goat.genomehubs.org/records?record_id=91738&result=taxon&taxonomy=ncbi#Aricia artaxerxes;https://tolqc.cog.sanger.ac.uk/darwin/insects/Aricia-artaxerxes;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20697/bb49f28c-6a33-4220-82bf-59782c21fa39_18664%20-%20Tree%20of%20Life%20Team%20Sanger.html
Bombus terrestris,"iyBomTerr4, iyBomTerr3, iyBomTerr5, iyBomTerr6, iyBomTerr2, iyBomTerr1",PRJEB45168,buff-tailed bumblebee,Annotation Complete,https://goat.genomehubs.org/records?record_id=30195&result=taxon&taxonomy=ncbi#Bombus terrestris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombus-terrestris;https://wellcomeopenresearch.org/articles/8-161/v1
Catocala fraxini,ilCatFrax1,PRJEB50456,Clifden Nonpareil,Annotation Complete,https://goat.genomehubs.org/records?record_id=423510&result=taxon&taxonomy=ncbi#Catocala fraxini;https://tolqc.cog.sanger.ac.uk/darwin/insects/Catocala-fraxini;https://wellcomeopenresearch.org/articles/7-129/v1
Eristalis arbustorum,"idEriArbu3, idEriArbu4, idEriArbu2, idEriArbu1",PRJEB46262,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1124515&result=taxon&taxonomy=ncbi#Eristalis arbustorum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eristalis-arbustorum;https://wellcomeopenresearch.org/articles/7-61/v1
Tholera decimalis,ilThoDeci1,PRJEB52580,Feathered Gothic,Annotation Complete,https://goat.genomehubs.org/records?record_id=988041&result=taxon&taxonomy=ncbi#Tholera decimalis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tholera-decimalis;
Crocallis elinguaria,ilCroElin1,PRJEB44979,Scalloped Oak,Annotation Complete,https://goat.genomehubs.org/records?record_id=934829&result=taxon&taxonomy=ncbi#Crocallis elinguaria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Crocallis-elinguaria;
Boloria selene,"ilBolSele1, ilBolSele2, ilBolSele3, ilBolSele4, ilBolSele5",PRJEB43029,silver meadow fritillary,Annotation Complete,https://goat.genomehubs.org/records?record_id=191398&result=taxon&taxonomy=ncbi#Boloria selene;https://tolqc.cog.sanger.ac.uk/darwin/insects/Boloria-selene;https://wellcomeopenresearch.org/articles/7-76/v1
Abrostola tripartita,ilAbrTrip1,PRJEB43735,Spectacle,Annotation Complete,https://goat.genomehubs.org/records?record_id=938171&result=taxon&taxonomy=ncbi#Abrostola tripartita;https://tolqc.cog.sanger.ac.uk/darwin/insects/Abrostola-tripartita;https://wellcomeopenresearch.org/articles/6-330/v1
Leptidea sinapis,"ilLepSina2, ilLepSina3, ilLepSina4, ilLepSina1",PRJEB43784,Wood White,Annotation Complete,https://goat.genomehubs.org/records?record_id=189913&result=taxon&taxonomy=ncbi#Leptidea sinapis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Leptidea-sinapis;https://wellcomeopenresearch.org/articles/7-254/v1
Pyrochroa serraticornis,"icPyrSerr2, icPyrSerr1",PRJEB43519,Red-headed Cardinal Beetle,Annotation Complete,https://goat.genomehubs.org/records?record_id=346838&result=taxon&taxonomy=ncbi#Pyrochroa serraticornis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pyrochroa-serraticornis;https://wellcomeopenresearch.org/articles/6-316/v1
Lycaena phlaeas,"ilLycPhla2, ilLycPhla1",PRJEB43522,common copper,Annotation Complete,https://goat.genomehubs.org/records?record_id=282391&result=taxon&taxonomy=ncbi#Lycaena phlaeas;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lycaena-phlaeas;https://wellcomeopenresearch.org/articles/6-294/v1
Pollenia angustigena,idPolAngu1,PRJEB48110,Narrow-cheeked Clusterfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=1266490&result=taxon&taxonomy=ncbi#Pollenia angustigena;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pollenia-angustigena;
Caradrina clavipalpis,ilCarClav1,PRJEB50780,Pale Mottled Willow,Annotation Complete,https://goat.genomehubs.org/records?record_id=987895&result=taxon&taxonomy=ncbi#Caradrina clavipalpis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Caradrina-clavipalpis;https://wellcomeopenresearch.org/articles/7-225/v1
Lymantria monacha,"ilLymMona1, ilLymMona2",PRJEB42098,black-arched tussock moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=78897&result=taxon&taxonomy=ncbi#Lymantria monacha;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lymantria-monacha;https://wellcomeopenresearch.org/articles/7-128/v1
Sarcophaga rosellei,idSarRose1,PRJEB47784,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1206372&result=taxon&taxonomy=ncbi#Sarcophaga rosellei;https://tolqc.cog.sanger.ac.uk/darwin/insects/Sarcophaga-rosellei;https://wellcomeopenresearch.org/articles/8-43/v1
Apotomis betuletana,"ilApoBetu2, ilApoBetu1",PRJEB49036,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1100915&result=taxon&taxonomy=ncbi#Apotomis betuletana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Apotomis-betuletana;https://wellcomeopenresearch.org/articles/8-66/v1
Bombus campestris,"iyBomCamp2, iyBomCamp1",PRJEB43527,Field Cuckoo Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=207624&result=taxon&taxonomy=ncbi#Bombus campestris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombus-campestris;https://wellcomeopenresearch.org/articles/8-77/v1
Craniophora ligustri,"ilCraLigu2, ilCraLigu1",PRJEB42088,Coronet,Annotation Complete,https://goat.genomehubs.org/records?record_id=938226&result=taxon&taxonomy=ncbi#Craniophora ligustri;https://tolqc.cog.sanger.ac.uk/darwin/insects/Craniophora-ligustri;https://wellcomeopenresearch.org/articles/8-81/v1
Diachrysia chrysitis,ilDiaChry1,PRJEB50718,burnished brass moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=179674&result=taxon&taxonomy=ncbi#Diachrysia chrysitis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Diachrysia-chrysitis;https://wellcomeopenresearch.org/articles/8-82/v1
Tenthredo mesomela,"iyTenMeso1, iyTenMeso2",PRJEB52924,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=222778&result=taxon&taxonomy=ncbi#Tenthredo mesomela;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tenthredo-mesomela;https://wellcomeopenresearch.org/articles/8-80/v1
Athalia rosae,"iyAthRosa6, iyAthRosa4, iyAthRosa2, iyAthRosa3, iyAthRosa5, iyAthRosa1",PRJEB45163,coleseed sawfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=37344&result=taxon&taxonomy=ncbi#Athalia rosae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Athalia-rosae;https://wellcomeopenresearch.org/articles/8-87/v1
Vanessa cardui,"ilVanCard3, ilVanCard1, ilVanCard2",PRJEB42931,Painted Lady,Annotation Complete,https://goat.genomehubs.org/records?record_id=171605&result=taxon&taxonomy=ncbi#Vanessa cardui;https://tolqc.cog.sanger.ac.uk/darwin/insects/Vanessa-cardui;https://wellcomeopenresearch.org/articles/6-324/v1
Bombylius discolor,idBomDisc1,PRJEB50782,Dotted Bee-fly,Annotation Complete,https://goat.genomehubs.org/records?record_id=2741128&result=taxon&taxonomy=ncbi#Bombylius discolor;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombylius-discolor;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20641/506c7004-6c2f-4e27-bf49-a2f07fa1ceb1_18614%20-%20Tree%20of%20Life%20Team%20Sanger.html
Vespa crabro,"iyVesCrab2, iyVesCrab1",PRJEB45138,European hornet,Annotation Complete,https://goat.genomehubs.org/records?record_id=7445&result=taxon&taxonomy=ncbi#Vespa crabro;https://tolqc.cog.sanger.ac.uk/darwin/insects/Vespa-crabro;https://wellcomeopenresearch.org/articles/7-27/v1
Autographa pulchrina,ilAutPulc1,PRJEB43776,Beautiful Golden Y,Annotation Complete,https://goat.genomehubs.org/records?record_id=987893&result=taxon&taxonomy=ncbi#Autographa pulchrina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Autographa-pulchrina;
Macaria notata,"ilMacNota2, ilMacNota1",PRJEB48590,Peacock Moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=688445&result=taxon&taxonomy=ncbi#Macaria notata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Macaria-notata;https://wellcomeopenresearch.org/articles/7-228/v1
Pandemis cinnamomeana,ilPanCinn1,PRJEB50727,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=753214&result=taxon&taxonomy=ncbi#Pandemis cinnamomeana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pandemis-cinnamomeana;
Hesperia comma,ilHesComm1,PRJEB43783,common branded skipper,Annotation Complete,https://goat.genomehubs.org/records?record_id=291688&result=taxon&taxonomy=ncbi#Hesperia comma;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hesperia-comma;
Acrobasis suavella,"ilAcrSuav1, ilAcrSuav2, ilAcrSuav3",PRJEB52023,Thicket Knot-horn,Annotation Complete,https://goat.genomehubs.org/records?record_id=1857951&result=taxon&taxonomy=ncbi#Acrobasis suavella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Acrobasis-suavella;
Cosmia trapezina,ilCosTrap1,PRJEB42087,dun-bar pinion,Annotation Complete,https://goat.genomehubs.org/records?record_id=116126&result=taxon&taxonomy=ncbi#Cosmia trapezina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Cosmia-trapezina;https://wellcomeopenresearch.org/articles/7-189/v1
Epicampocera succincta,"idEpiSucc2, idEpiSucc1",PRJEB50852,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=569040&result=taxon&taxonomy=ncbi#Epicampocera succincta;https://tolqc.cog.sanger.ac.uk/darwin/insects/Epicampocera-succincta;
Chloroclysta siterata,"ilChlSite1, ilChlSite2",PRJEB50717,Red-green Carpet,Annotation Complete,https://goat.genomehubs.org/records?record_id=934828&result=taxon&taxonomy=ncbi#Chloroclysta siterata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Chloroclysta-siterata;
Cistogaster globosa,"idCisGlob1, idCisGlob2",PRJEB51331,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1918221&result=taxon&taxonomy=ncbi#Cistogaster globosa;https://tolqc.cog.sanger.ac.uk/darwin/insects/Cistogaster-globosa;
Griposia aprilina,ilGriApri1,PRJEB46277,Merveille du Jour,Annotation Complete,https://goat.genomehubs.org/records?record_id=1101106&result=taxon&taxonomy=ncbi#Griposia aprilina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Griposia-aprilina;https://wellcomeopenresearch.org/articles/7-247/v1
Amphipyra tragopoginis,"ilAmpTrag1, ilAmpTrag2",PRJEB42934,Mouse Moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=689058&result=taxon&taxonomy=ncbi#Amphipyra tragopoginis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Amphipyra-tragopoginis;https://wellcomeopenresearch.org/articles/8-54/v1
Agrotis puta,"ilAgrPuta1, ilAgrPuta2",PRJEB52474,Shuttle-shaped Dart,Annotation Complete,https://goat.genomehubs.org/records?record_id=1857961&result=taxon&taxonomy=ncbi#Agrotis puta;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agrotis-puta;https://wellcomeopenresearch.org/articles/8-84/v1
Agrochola macilenta,"ilAgrMaci2, ilAgrMaci1",PRJEB46286,Yellow-line Quaker,Annotation Complete,https://goat.genomehubs.org/records?record_id=987872&result=taxon&taxonomy=ncbi#Agrochola macilenta;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agrochola-macilenta;https://wellcomeopenresearch.org/articles/8-90/v1
Protocalliphora azurea,idProAzur1,PRJEB48586,Bird Blowfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=226133&result=taxon&taxonomy=ncbi#Protocalliphora azurea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Protocalliphora-azurea;https://wellcomeopenresearch.org/articles/8-67/v1
Apamea monoglypha,ilApaMono1,PRJEB45154,Dark Arches,Annotation Complete,https://goat.genomehubs.org/records?record_id=875885&result=taxon&taxonomy=ncbi#Apamea monoglypha;https://tolqc.cog.sanger.ac.uk/darwin/insects/Apamea-monoglypha;https://wellcomeopenresearch.org/articles/8-63/v1
Opisthograptis luteolata,"ilOpiLute2, ilOpiLute1",PRJEB48391,Brimstone Moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=934882&result=taxon&taxonomy=ncbi#Opisthograptis luteolata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Opisthograptis-luteolata;https://wellcomeopenresearch.org/articles/7-227/v1
Laothoe populi,ilLaoPopu1,PRJEB42938,Poplar Hawk-moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=522836&result=taxon&taxonomy=ncbi#Laothoe populi;https://tolqc.cog.sanger.ac.uk/darwin/insects/Laothoe-populi;https://wellcomeopenresearch.org/articles/6-237/v1
Mimumesa dahlbomi,iyMimDahl1,PRJEB46289,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=2495085&result=taxon&taxonomy=ncbi#Mimumesa dahlbomi;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mimumesa-dahlbomi;
Thecocarcelia acutangulata,idTheAcut1,PRJEB46263,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1918310&result=taxon&taxonomy=ncbi#Thecocarcelia acutangulata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Thecocarcelia-acutangulata;https://wellcomeopenresearch.org/articles/8-88/v1
Emmelina monodactyla,ilEmmMono1,PRJEB46284,morning-glory plume moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=467774&result=taxon&taxonomy=ncbi#Emmelina monodactyla;https://tolqc.cog.sanger.ac.uk/darwin/insects/Emmelina-monodactyla;https://wellcomeopenresearch.org/articles/8-97/v1
Zeuzera pyrina,"ilZeuPyri2, ilZeuPyri1",PRJEB44828,Leopard Moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=1101072&result=taxon&taxonomy=ncbi#Zeuzera pyrina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Zeuzera-pyrina;https://wellcomeopenresearch.org/articles/8-94/v1
Agriphila geniculea,ilAgrGeni1,PRJEB51032,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1660579&result=taxon&taxonomy=ncbi#Agriphila geniculea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agriphila-geniculea;https://wellcomeopenresearch.org/articles/8-86/v1
Amblyteles armatorius,"iyAmbArma3, iyAmbArma1, iyAmbArma4, iyAmbArma2",PRJEB50783,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=231887&result=taxon&taxonomy=ncbi#Amblyteles armatorius;https://tolqc.cog.sanger.ac.uk/darwin/insects/Amblyteles-armatorius;https://wellcomeopenresearch.org/articles/8-61/v1
Rhogogaster chlorosoma,iyRhoChlo1,PRJEB52860,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1385029&result=taxon&taxonomy=ncbi#Rhogogaster chlorosoma;https://tolqc.cog.sanger.ac.uk/darwin/insects/Rhogogaster-chlorosoma;https://wellcomeopenresearch.org/articles/8-59/v1
Allophyes oxyacanthae,"ilAllOxya2, ilAllOxya1, ilAllOxya3",PRJEB50722,Green-brindled Crescent,Annotation Complete,https://goat.genomehubs.org/records?record_id=988056&result=taxon&taxonomy=ncbi#Allophyes oxyacanthae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Allophyes-oxyacanthae;https://wellcomeopenresearch.org/articles/8-53/v1
Eupsilia transversa,"ilEupTran2, ilEupTran1",PRJEB46278,satellite moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=116130&result=taxon&taxonomy=ncbi#Eupsilia transversa;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eupsilia-transversa;https://wellcomeopenresearch.org/articles/7-266/v1
