reference	reference_length	protid	sequence.length	TM_v_query	organism.scientificName	organism.commonName	organism.lineage	proportion_of_reference
Q96LT7	481	A0A091Q527	481	0.9746	Leptosomus discolor	Madagascar cuckoo roller	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Coraciiformes', 'Leptosomidae', 'Leptosomus']	1
Q96LT7	481	A0A091RDC0	481	0.9895	Merops nubicus	Northern carmine bee-eater	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Coraciiformes', 'Meropidae', 'Merops']	1
Q96LT7	481	A0A091TCZ3	481	0.9838	Phaethon lepturus	White-tailed tropicbird	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Pelecaniformes', 'Phaethontidae', 'Phaethon']	1
Q96LT7	481	A0A091VVN2	481	0.9862	Opisthocomus hoazin	Hoatzin	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Opisthocomiformes', 'Opisthocomidae', 'Opisthocomus']	1
Q96LT7	481	A0A091W7W1	481	0.9879	Nipponia nippon	Crested ibis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Pelecaniformes', 'Threskiornithidae', 'Nipponia']	1
Q96LT7	481	A0A093F2N7	481	0.9829	Gavia stellata	Red-throated diver	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Gaviiformes', 'Gaviidae', 'Gavia']	1
Q96LT7	481	A0A093FQ93	481	0.9846	Tyto alba	Barn owl	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Strigiformes', 'Tytonidae', 'Tyto']	1
Q96LT7	481	A0A093GTG2	481	0.973	Struthio camelus australis	NA	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Palaeognathae', 'Struthioniformes', 'Struthionidae', 'Struthio']	1
Q96LT7	481	A0A093GV64	435	0.9449	Dryobates pubescens	Downy woodpecker	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Piciformes', 'Picidae', 'Dryobates']	0.9043659043659044
Q96LT7	481	A0A093KQF0	481	0.9798	Fulmarus glacialis	Northern fulmar	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Procellariiformes', 'Procellariidae', 'Fulmarus']	1
Q96LT7	481	A0A093LK35	481	0.9818	Eurypyga helias	Sunbittern	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Gruiformes', 'Eurypygidae', 'Eurypyga']	1
Q96LT7	481	A0A093Q8A7	481	0.9787	Manacus vitellinus	golden-collared manakin	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Pipridae', 'Manacus']	1
Q96LT7	481	A0A093R5H2	481	0.9898	Phalacrocorax carbo	Great cormorant	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Pelecaniformes', 'Phalacrocoracidae', 'Phalacrocorax']	1
Q96LT7	481	A0A094KTJ6	481	0.9856	Antrostomus carolinensis	Chuck-will's-widow	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Caprimulgimorphae', 'Caprimulgiformes', 'Caprimulgidae', 'Antrostomus']	1
Q96LT7	481	A0A094LS66	481	0.985	Podiceps cristatus	Great crested grebe	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Podicipediformes', 'Podicipedidae', 'Podiceps']	1
Q96LT7	481	A0A0A0A6N4	481	0.9812	Charadrius vociferus	Killdeer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Charadriiformes', 'Charadriidae', 'Charadrius']	1
Q96LT7	481	A0A0S7KLT2	462	0.954	Poeciliopsis prolifica	blackstripe livebearer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Poeciliopsis']	0.9604989604989606
Q96LT7	481	A0A1A7ZET7	462	0.9552	Nothobranchius furzeri	Turquoise killifish	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Nothobranchiidae', 'Nothobranchius']	0.9604989604989606
Q96LT7	481	A0A1S3FK71	481	0.9572	Dipodomys ordii	Ord's kangaroo rat	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Castorimorpha', 'Heteromyidae', 'Dipodomyinae', 'Dipodomys']	1
Q96LT7	481	A0A1S3R4N8	458	0.9687	Salmo salar	Atlantic salmon	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	0.9521829521829522
Q96LT7	481	A0A1S3SP34	480	0.9232	Salmo salar	Atlantic salmon	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	0.997920997920998
Q96LT7	481	A0A1S3SP43	486	0.9273	Salmo salar	Atlantic salmon	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	1.0103950103950103
Q96LT7	481	A0A1S3SP44	461	0.9666	Salmo salar	Atlantic salmon	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	0.9584199584199584
Q96LT7	481	A0A1S3WM35	481	0.9599	Erinaceus europaeus	Western European hedgehog	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Eulipotyphla', 'Erinaceidae', 'Erinaceinae', 'Erinaceus']	1
Q96LT7	481	A0A1U7R4G3	481	0.9566	Mesocricetus auratus	Golden hamster	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Cricetidae', 'Cricetinae', 'Mesocricetus']	1
Q96LT7	481	A0A1U7RYE7	481	0.9861	Alligator sinensis	Chinese alligator	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Crocodylia', 'Alligatoridae', 'Alligatorinae', 'Alligator']	1
Q96LT7	481	A0A1U8DH40	461	0.9829	Alligator sinensis	Chinese alligator	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Crocodylia', 'Alligatoridae', 'Alligatorinae', 'Alligator']	0.9584199584199584
Q96LT7	481	A0A1V4KXN1	481	0.9879	Patagioenas fasciata monilis	NA	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Patagioenas']	1
Q96LT7	481	A0A1V4KXV3	461	0.974	Patagioenas fasciata monilis	NA	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Patagioenas']	0.9584199584199584
Q96LT7	481	A0A226N860	435	0.9324	Callipepla squamata	Scaled quail	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Galliformes', 'Odontophoridae', 'Callipepla']	0.9043659043659044
Q96LT7	481	A0A287AZU9	481	0.9837	Sus scrofa	Pig	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Suina', 'Suidae', 'Sus']	1
Q96LT7	481	A0A287B418	489	0.9527	Sus scrofa	Pig	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Suina', 'Suidae', 'Sus']	1.0166320166320166
Q96LT7	481	A0A2D0QRB4	462	0.9569	Ictalurus punctatus	Channel catfish	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Siluriformes', 'Ictaluridae', 'Ictalurus']	0.9604989604989606
Q96LT7	481	A0A2I0M5H3	487	0.9831	Columba livia	Rock dove	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Columba']	1.0124740124740124
Q96LT7	481	A0A2I0M5H4	467	0.9646	Columba livia	Rock dove	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Columbiformes', 'Columbidae', 'Columba']	0.9708939708939709
Q96LT7	481	A0A2I0U9J5	477	0.9801	Limosa lapponica baueri	NA	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Charadriiformes', 'Scolopacidae', 'Limosa']	0.9916839916839917
Q96LT7	481	A0A2I4BN72	462	0.9536	Austrofundulus limnaeus	Annual killifish	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Rivulidae', 'Austrofundulus']	0.9604989604989606
Q96LT7	481	A0A2K5CLL7	481	0.9903	Aotus nancymaae	Ma's night monkey	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Platyrrhini', 'Aotidae', 'Aotus']	1
Q96LT7	481	A0A2K5L366	481	0.9885	Cercocebus atys	Sooty mangabey	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Cercopithecidae', 'Cercopithecinae', 'Cercocebus']	1
Q96LT7	481	A0A2K5PJC2	481	0.9597	Cebus imitator	Panamanian white-faced capuchin	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Platyrrhini', 'Cebidae', 'Cebinae', 'Cebus']	1
Q96LT7	481	A0A2K6N3M7	481	0.9773	Rhinopithecus bieti	Black snub-nosed monkey	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Cercopithecidae', 'Colobinae', 'Rhinopithecus']	1
Q96LT7	481	A0A2R8Y5U5	373	0.9743	Homo sapiens	Human	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Hominidae', 'Homo']	0.7754677754677755
Q96LT7	481	A0A2U3V3N6	481	0.9854	Tursiops truncatus	Atlantic bottle-nosed dolphin	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Delphinidae', 'Tursiops']	1
Q96LT7	481	A0A2U3X3U4	481	0.9661	Odobenus rosmarus divergens	Pacific walrus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Odobenidae', 'Odobenus']	1
Q96LT7	481	A0A2Y9E7D0	481	0.9892	Trichechus manatus latirostris	Florida manatee	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Afrotheria', 'Sirenia', 'Trichechidae', 'Trichechus']	1
Q96LT7	481	A0A2Y9F419	481	0.987	Physeter macrocephalus	Sperm whale	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter']	1
Q96LT7	481	A0A2Y9F4Z2	431	0.9854	Physeter macrocephalus	Sperm whale	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter']	0.896049896049896
Q96LT7	481	A0A2Y9LJV5	481	0.9608	Delphinapterus leucas	Beluga whale	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Monodontidae', 'Delphinapterus']	1
Q96LT7	481	A0A2Y9LPY1	386	0.9525	Delphinapterus leucas	Beluga whale	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Monodontidae', 'Delphinapterus']	0.8024948024948025
Q96LT7	481	A0A2Y9RST1	442	0.9555	Trichechus manatus latirostris	Florida manatee	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Afrotheria', 'Sirenia', 'Trichechidae', 'Trichechus']	0.918918918918919
Q96LT7	481	A0A340X7I0	481	0.9602	Lipotes vexillifer	Yangtze river dolphin	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Lipotidae', 'Lipotes']	1
Q96LT7	481	A0A341C7W8	442	0.9711	Neophocaena asiaeorientalis asiaeorientalis	Yangtze finless porpoise	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Phocoenidae', 'Neophocaena']	0.918918918918919
Q96LT7	481	A0A3B1K3K4	468	0.861	Astyanax mexicanus	Blind cave fish	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Astyanax']	0.972972972972973
Q96LT7	481	A0A3B3V7Z1	462	0.9604	Poecilia latipinna	sailfin molly	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Poecilia']	0.9604989604989606
Q96LT7	481	A0A3B4E1A3	462	0.9825	Pygocentrus nattereri	Red-bellied piranha	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Pygocentrus']	0.9604989604989606
Q96LT7	481	A0A3B4ZV67	462	0.9535	Stegastes partitus	bicolor damselfish	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Pomacentridae', 'Stegastes']	0.9604989604989606
Q96LT7	481	A0A3L8SCM4	485	0.9802	Chloebia gouldiae	Gouldian finch	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Passeroidea', 'Passeridae', 'Chloebia']	1.0083160083160083
Q96LT7	481	A0A3M0JK36	435	0.9715	Hirundo rustica rustica	NA	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Sylvioidea', 'Hirundinidae', 'Hirundo']	0.9043659043659044
Q96LT7	481	A0A3N0XX26	462	0.9769	Anabarilius grahami	Kanglang fish	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Xenocyprididae', 'Xenocypridinae', 'Xenocypridinae incertae sedis', 'Anabarilius']	0.9604989604989606
Q96LT7	481	A0A3P8YB20	461	0.9643	Esox lucius	Northern pike	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	0.9584199584199584
Q96LT7	481	A0A3P9BIG2	462	0.9543	Maylandia zebra	zebra mbuna	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Haplochromini', 'Maylandia', 'Maylandia zebra complex']	0.9604989604989606
Q96LT7	481	A0A3Q0DLB5	481	0.9489	Carlito syrichta	Philippine tarsier	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Tarsiiformes', 'Tarsiidae', 'Carlito']	1
